iter	RMSE
155	106.4842932
156	106.0373585
157	105.6223291
158	105.151753
159	104.4330708
160	104.0059274
161	103.659053
162	103.375856
163	102.7495346
164	102.3931257
165	102.1065549
166	101.686388
167	101.3498069
168	100.7202765
169	100.0901877
170	99.76555769
171	99.42604506
172	99.17687457
173	98.81672918
174	98.54761362
175	98.2080747
176	97.692392
177	97.37756173
178	96.94732
179	96.6343817
180	96.36378277
181	96.13047741
182	95.90596268
183	95.45508138
184	95.05443338
185	94.84246338
186	94.63731363
187	94.16743708
188	93.9243834
189	93.74782533
190	93.60368247
191	93.42342271
192	93.0470322
193	92.80804229
194	92.61219451
195	92.05412541
196	91.78782628
197	91.43552732
198	91.26260307
199	90.94481919
200	90.82200174
201	90.50353659
202	90.24718836
203	89.82618566
204	89.67251659
205	89.51542057
206	89.13798401
207	88.67307258
208	88.35933867
209	87.93418935
210	87.51323228
211	87.12441225
212	86.68048313
213	86.25743273
214	85.88097231
215	85.60021396
216	85.29942553
217	85.13554816
218	85.0282925
219	84.85151817
220	84.65203497
221	84.51016664
222	84.27136292
223	84.08177784
224	83.60837427
225	83.40251905
226	83.20123683
227	82.77057016
228	82.55236758
229	82.19446243
230	81.82232492
231	81.63999591
232	81.50852979
233	81.22385747
234	80.99849091
235	80.8013609
236	80.68622097
237	80.49913874
238	80.37776004
239	80.16489804
240	79.8085546
241	79.5008838
242	79.15288608
243	78.9571461
244	78.69692178
245	78.52829442
246	78.42680935
247	78.31079277
248	78.06720201
249	77.74903372
250	77.62963718
251	77.31310643
252	77.14346695
253	76.97667247
254	76.73826729
255	76.45587566
256	76.32539736
257	76.15390582
258	75.82861701
259	75.58780891
260	75.32254898
261	75.17432908
262	74.93922893
263	74.74992771
264	74.49708773
265	74.34263996
266	74.03447651
267	73.90076008
268	73.69813185
269	73.43273158
270	73.22898061
271	73.05881344
272	72.93763039
273	72.71372532
274	72.55623471
275	72.39055464
276	72.21448815
277	72.09957564
278	72.02636222
279	71.87610915
280	71.65202388
281	71.38535206
282	71.22193494
283	71.07829274
284	70.97107447
285	70.8271758
286	70.67815472
287	70.4389894
288	70.19013878
289	69.97051647
290	69.87583588
291	69.69889879
292	69.57791347
293	69.48064147
294	69.24726046
295	69.16693573
296	69.0059446
297	68.84528225
298	68.75810839
299	68.47909482
300	68.29327797
301	68.13143407
302	67.99192791
303	67.76695523
304	67.57501688
305	67.47116686
306	67.3277015
307	67.12551967
308	66.94991723
309	66.79683476
310	66.70776942
311	66.61547696
312	66.3497588
313	66.2577455
314	66.20459736
315	66.06414
316	65.92000972
317	65.80515254
318	65.70352982
319	65.54445151
320	65.27410482
321	65.14354889
322	65.01297276
323	64.88868747
324	64.64511892
325	64.50561449
326	64.40878449
327	64.2873612
328	64.1651857
329	64.06996056
330	63.94380741
331	63.85438516
332	63.79904205
333	63.72513089
334	63.60074535
335	63.48125816
336	63.31358384
337	63.19295073
338	63.08008599
339	62.98132602
340	62.90491516
341	62.85494603
342	62.69938944
343	62.47315812
344	62.38008129
345	62.25865588
346	62.12306164
347	62.04188522
348	61.96701807
349	61.88731253
350	61.77294581
351	61.6094146
352	61.50350378
353	61.42891983
354	61.37046452
355	61.18700765
356	61.05389753
357	60.93406228
358	60.82871306
359	60.76112371
360	60.62982931
361	60.57736723
362	60.52015518
363	60.38150561
364	60.24198806
365	60.09100233
366	59.91549122
367	59.83391012
368	59.66549419
369	59.58466471
370	59.49945938
371	59.4385802
372	59.39015997
373	59.24479945
374	59.12962091
375	58.9222102
376	58.82938129
377	58.6640405
378	58.58617318
379	58.46374736
380	58.35839841
381	58.2730882
382	58.19517369
383	58.13763624
384	58.01151132
385	57.95443925
386	57.87806431
387	57.80122339
388	57.71127194
389	57.653253
390	57.55167339
391	57.50589705
392	57.41150086
393	57.27641282
394	57.21453075
395	57.09459448
396	57.03181495
397	56.9430161
398	56.80622096
399	56.61068426
400	56.47936283
401	56.33681788
402	56.20896861
403	56.09922832
404	56.03693283
405	55.99414991
406	55.89234377
407	55.85942283
408	55.7687437
409	55.68263459
410	55.59617366
411	55.46790857
412	55.38120775
413	55.24752728
414	55.12534853
415	55.02765162
416	54.93213178
417	54.84331739
418	54.75720467
419	54.64104289
420	54.55887919
421	54.5206925
422	54.45132079
423	54.40028076
424	54.35497672
425	54.28356374
426	54.17416867
427	54.07070075
428	53.97226571
429	53.87718982
430	53.79291872
431	53.70595383
432	53.57058962
433	53.53143602
434	53.44625818
435	53.38845032
436	53.32635399
437	53.28119268
438	53.25043757
439	53.20826514
440	53.12964552
441	53.09096003
442	53.02315671
443	52.96666867
444	52.83093635
445	52.74186875
446	52.61453388
447	52.5332584
448	52.50820563
449	52.40165218
450	52.34916248
451	52.28652737
452	52.21657637
453	52.1766188
454	52.12321236
455	51.99818738
456	51.9395812
457	51.87653288
458	51.84098424
459	51.67686541
460	51.62507237
461	51.59214444
462	51.49787322
463	51.43975258
464	51.29681242
465	51.24800478
466	51.20160597
467	51.11561665
468	51.03757059
469	51.0031466
470	50.94016627
471	50.88664971
472	50.79762986
473	50.73056731
474	50.6905151
475	50.57482626
476	50.49181915
477	50.41871838
478	50.35970039
479	50.22536808
480	50.18830294
481	50.11876299
482	50.04851822
483	49.97110761
484	49.92159004
485	49.84362348
486	49.7699743
487	49.71227081
488	49.68074014
489	49.62281014
490	49.57218859
491	49.51613817
492	49.46189259
493	49.42308801
494	49.37638882
495	49.33784008
496	49.31739086
497	49.26472417
498	49.24116421
499	49.17247782
500	49.10738242
501	49.07331292
502	48.98108792
503	48.92164765
504	48.89817205
505	48.83289209
506	48.79653491
507	48.74812679
508	48.67924529
509	48.64887056
510	48.61672416
511	48.562654
512	48.49307489
513	48.43146237
514	48.34910019
515	48.26180715
516	48.21292518
517	48.16038662
518	48.10024024
519	48.04833254
520	47.99712965
521	47.92085789
522	47.82113824
523	47.76945701
524	47.67115004
525	47.57916823
526	47.48382266
527	47.43804139
528	47.35073348
529	47.2914229
530	47.23843784
531	47.14922501
532	47.11769489
533	47.03394058
534	46.95761117
535	46.88446713
536	46.84062717
537	46.78220558
538	46.733874
539	46.6927894
540	46.62050112
541	46.56040859
542	46.49041432
543	46.38516559
544	46.3319791
545	46.28460081
546	46.26613969
547	46.21855247
548	46.19296704
549	46.13566788
550	46.11992682
551	46.07557318
552	46.03474455
553	45.9838689
554	45.93446425
555	45.89090067
556	45.82954484
557	45.68169852
558	45.63987718
559	45.5786537
560	45.50647458
561	45.48579343
562	45.43049897
563	45.3928947
564	45.31285036
565	45.26960141
566	45.22772728
567	45.13915229
568	45.11062316
569	45.08238534
570	45.03857623
571	44.99664134
572	44.95293428
573	44.90214367
574	44.87766973
575	44.77409081
576	44.75544176
577	44.72933241
578	44.68073286
579	44.63188174
580	44.60004407
581	44.55599573
582	44.51396389
583	44.42025674
584	44.39404186
585	44.32077993
586	44.30180227
587	44.28543762
588	44.19615124
589	44.09340611
590	44.03130624
591	44.00362047
592	43.9062815
593	43.84246651
594	43.81397663
595	43.75491982
596	43.71503941
597	43.64625393
598	43.63309576
599	43.5737823
600	43.51734663
601	43.46345073
602	43.42016109
603	43.3823328
604	43.35061327
605	43.30393907
606	43.24873187
607	43.17614356
608	43.14565019
609	43.113651
610	43.07838406
611	42.9642287
612	42.93817117
613	42.89279229
614	42.85108686
615	42.83712971
616	42.80047649
617	42.74415427
618	42.71901286
619	42.68678178
620	42.63550696
621	42.58494665
622	42.50016282
623	42.47046439
624	42.42998372
625	42.38435702
626	42.32744008
627	42.30620172
628	42.26654691
629	42.24308211
630	42.21332628
631	42.11535275
632	42.05107057
633	42.00435781
634	41.97182676
635	41.92287138
636	41.88457007
637	41.85537742
638	41.80330912
639	41.7125321
640	41.67536993
641	41.58542077
642	41.55790896
643	41.5432906
644	41.50370305
645	41.44464552
646	41.43179117
647	41.39498279
648	41.34508537
649	41.29859151
650	41.22348005
651	41.21377993
652	41.19799132
653	41.16488196
654	41.13204017
655	41.11566778
656	41.06397098
657	41.02839773
658	40.94824827
659	40.92973217
660	40.88259433
661	40.83748317
662	40.77551967
663	40.73156184
664	40.66019801
665	40.6037369
666	40.56711597
667	40.54488646
668	40.51861422
669	40.46891645
670	40.43019296
671	40.40193693
672	40.37681151
673	40.34941085
674	40.32073651
675	40.2930999
676	40.24121567
677	40.2130275
678	40.18926738
679	40.15148548
680	40.07193939
681	40.02121306
682	39.99042601
683	39.94663343
684	39.89886941
685	39.86300973
686	39.81829595
687	39.77133158
688	39.72856911
689	39.69034044
690	39.67179311
691	39.6301228
692	39.59574374
693	39.56162692
694	39.53497674
695	39.5064968
696	39.49456852
697	39.44919464
698	39.41840785
699	39.38243559
700	39.36179006
701	39.32096784
702	39.28538661
703	39.24692765
704	39.20819445
705	39.17715984
706	39.14629653
707	39.09782883
708	39.07217879
709	39.03735348
710	38.96699946
711	38.93302753
712	38.90510713
713	38.8678148
714	38.8295447
715	38.80976413
716	38.77197697
717	38.70712236
718	38.65409509
719	38.60681357
720	38.57429808
721	38.52801532
722	38.49991151
723	38.4656068
724	38.4435798
725	38.39257282
726	38.35084009
727	38.33138877
728	38.30657523
729	38.29446742
730	38.27399096
731	38.24736126
732	38.21572691
733	38.18310012
734	38.14331182
735	38.06719747
736	38.03903663
737	38.00778273
738	37.94160496
739	37.91863337
740	37.87419977
741	37.85238789
742	37.78466669
743	37.72174523
744	37.68411968
745	37.66012582
746	37.63485686
747	37.59078483
748	37.53592819
749	37.51653869
750	37.48700993
751	37.43318772
752	37.40103106
753	37.37284219
754	37.34375792
755	37.27899862
756	37.25975576
757	37.2345806
758	37.20580281
759	37.17321949
760	37.13544572
761	37.11470665
762	37.06904024
763	37.05183345
764	37.04079313
765	37.0104529
766	36.97839319
767	36.96793658
768	36.9349314
769	36.91937155
770	36.88044397
771	36.85861409
772	36.81179442
773	36.79145599
774	36.75845484
775	36.67644773
776	36.65041371
777	36.62417876
778	36.60845601
779	36.58600167
780	36.55908143
781	36.52929745
782	36.50920327
783	36.4762844
784	36.45443073
785	36.43629319
786	36.39996434
787	36.37563173
788	36.35602103
789	36.32477526
790	36.29717326
791	36.26792895
792	36.22680967
793	36.18888879
794	36.15836521
795	36.11737796
796	36.09714382
797	36.07201314
798	36.03453452
799	35.99562887
800	35.9398772
801	35.90612915
802	35.88180087
803	35.86644055
804	35.84177159
805	35.81595893
806	35.77892141
807	35.75532935
808	35.73149425
809	35.6990558
810	35.66205725
811	35.6256359
812	35.59978812
813	35.56077696
814	35.54686376
815	35.53078614
816	35.50785453
817	35.48269067
818	35.46419973
819	35.42829861
820	35.39950637
821	35.38306412
822	35.35805111
823	35.33663645
824	35.30802003
825	35.29663168
826	35.27375088
827	35.24240343
828	35.21654449
829	35.18159952
830	35.15749181
831	35.11080081
832	35.06831138
833	35.05164535
834	35.02409791
835	34.96202155
836	34.93516158
837	34.89929744
838	34.87021946
839	34.84384918
840	34.81863079
841	34.79812896
842	34.76753432
843	34.75734426
844	34.72902076
845	34.70338967
846	34.6767787
847	34.65442872
848	34.63262392
849	34.61037509
850	34.59531236
851	34.54983006
852	34.52340865
853	34.49965254
854	34.4825418
855	34.44867374
856	34.42112773
857	34.37556687
858	34.3347336
859	34.32318111
860	34.30147498
861	34.27617256
862	34.25220702
863	34.19386338
864	34.15861192
865	34.14704731
866	34.124597
867	34.08861435
868	34.0673851
869	34.03291551
870	34.02636251
871	34.00413297
872	33.97601199
873	33.94962298
874	33.91190864
875	33.88817625
876	33.86913973
877	33.84294072
878	33.82084925
879	33.80524581
880	33.77838767
881	33.74743869
882	33.72746234
883	33.69189372
884	33.67909952
885	33.63746085
886	33.60313892
887	33.58019894
888	33.54545488
889	33.52412447
890	33.49099807
891	33.47457171
892	33.43872547
893	33.42038278
894	33.39572102
895	33.35441715
896	33.30918719
897	33.27470821
898	33.26140729
899	33.23309296
900	33.18761222
901	33.17044547
902	33.14072962
903	33.09426246
904	33.07534423
905	33.0500553
906	33.02443622
907	32.97603078
908	32.9571579
909	32.94077741
910	32.92026496
911	32.89894097
912	32.88399684
913	32.86744221
914	32.82590911
915	32.79343541
916	32.77054337
917	32.75690403
918	32.72627469
919	32.68665438
920	32.6766361
921	32.66460438
922	32.64147978
923	32.61855197
924	32.58773571
925	32.56941987
926	32.53821519
927	32.51031777
928	32.4815957
929	32.46203337
930	32.44070268
931	32.40289713
932	32.37692684
933	32.31705961
934	32.29078592
935	32.27200202
936	32.24852243
937	32.21967463
938	32.19343453
939	32.1721595
940	32.13443091
941	32.10481734
942	32.08633527
943	32.07623298
944	32.05085075
945	32.03324321
946	32.01303711
947	31.99539914
948	31.97374635
949	31.95025979
950	31.92336144
951	31.91171807
952	31.8854528
953	31.86161017
954	31.83850238
955	31.82277994
956	31.79065407
957	31.75691806
958	31.73883069
959	31.71032907
960	31.68108701
961	31.65866705
962	31.63272291
963	31.61450679
964	31.6043846
965	31.59065283
966	31.56682391
967	31.5545689
968	31.54105135
969	31.50314134
970	31.49321753
971	31.48044176
972	31.4519628
973	31.43863943
974	31.41661742
975	31.39672998
976	31.34666546
977	31.32624959
978	31.31397864
979	31.29897372
980	31.26135056
981	31.24699857
982	31.23305526
983	31.21318628
984	31.19228165
985	31.17399334
986	31.1504728
987	31.12784935
988	31.11034017
989	31.08453777
990	31.06297405
991	31.02967172
992	31.00371853
993	30.98274874
994	30.95729958
995	30.94474704
996	30.92593925
997	30.90685997
998	30.88766623
999	30.86301399
